# naive_pinyin dict v1
# sources: rime-ice(8105/base/ext/others)
a	啊:853,阿:753,吖:660,锕:274,腌:38
gui hua yuan	规划院:324
gui huan	归还:592
gui huan dai kuan	归还贷款:497
gui huan gei	归还给:292
gui hui	归回:325
gui hui shi	硅灰石:448
gui hun	鬼魂:508,鬼混:414
gui huo	贵货:515,鬼火:435
gui ji	轨迹:566,硅基:519,诡计:510,柜机:231
gui ji duo duan	诡计多端:404
gui jia	龟甲:428,归家:263
gui jian	贵贱:466,规谏:286
gui jiang	桂江:319
gui jiao	鬼叫:507,硅胶:427
gui jie	归结:504,鬼界:484,鬼节:326
gui jie dao	归结到:315
gui jie wei	归结为:358
gui jie yu	归结于:532
gui jin shu	贵金属:506
gui jing	归经:378,鬼精:274
gui jiu	归咎:424
gui jiu yu	归咎于:340
gui ju	规矩:616,轨距:351,贵局:277,桂剧:276
gui jue	诡谲:414
gui kan	贵刊:274
gui ke	贵客:472,归客:453,龟壳:376
gui kou	归口:472
gui ku	鬼哭:288
gui ku lang hao	鬼哭狼嚎:378
gui lai	归来:587
gui lai hou	归来后:491
gui lan	桂兰:348
gui le	贵了:588,跪了:552
gui lei	归类:488,龟类:433
gui li	鬼厉:549,柜里:543,瑰丽:470,跪立:384,规例:337
gui lian	鬼脸:470
gui lin	桂林:630,归林:434
gui lin lu	桂林路:505
gui lin lv you	桂林旅游:563
gui lin mi fen	桂林米粉:516
gui lin shan shui	桂林山水:324
gui lin shi	桂林市:470
gui ling	归零:324
gui ling gao	龟苓膏:376
gui long	归拢:309
gui lu	归路:434
gui lv	规律:701
gui lv xing	规律性:506
gui ma	贵吗:549
gui mao	龟毛:449
gui mei	鬼魅:462,硅镁:461
gui men	柜门:413,鬼门:298,闺门:274
gui men guan	鬼门关:424
gui mi	闺蜜:549,诡秘:443
gui mian	鬼面:418,柜面:336
gui miao	桂庙:246
gui mo	规模:732
gui mo da	规模大:620
gui mo hong da	规模宏大:346
gui mo hua	规模化:494
gui mo jing ji	规模经济:592
gui mo jing ying	规模经营:334
gui mo xiao yi	规模效益:594
gui mo xiao ying	规模效应:559
gui mo xing	规模型:318
gui mo yi shang	规模以上:656
gui mo zui da	规模最大:694
gui mu	桧木:266
gui na	归纳:588
gui na chu	归纳出:566
gui na fa	归纳法:385
gui na qi lai	归纳起来:337
gui na wei	归纳为:606
gui nei	柜内:358
gui ni	归你:513
gui nie	圭臬:271
gui ning	归宁:272
gui nv	闺女:515
gui pa	跪趴:484
gui pa zai	跪趴在:484
gui pai	鬼牌:549
gui pai qi gong	龟派气功:549
gui pai qi gong bo	龟派气功波:549
gui pai qi gong bo er	龟派气功波儿:549
gui pi	桂皮:400
gui pian	硅片:391,鬼片:300
gui ping shi	桂平市:322
gui qi	贵气:468,贵戚:383,归期:367,鬼气:304,鬼泣:291,诡奇:256,瑰奇:247
gui qiao	归侨:520
gui qiu	跪求:316
gui qu	归去:444
gui quan	贵圈:549,规劝:432,桂醛:385
gui quan er	贵圈儿:549
gui ren	贵人:544
gui ren xiang zhu	贵人相助:290
gui rou	龟肉:270
gui ru	归入:516
gui shan	归山:480
gui shang	柜上:316
gui she	跪射:277
gui shei	归谁:306
gui shen	鬼神:522
gui shi	硅石:378,柜式:282
gui shi shen chai	鬼使神差:408
gui shou	鬼手:531
gui shu	归属:586,桂树:366
gui shu di	归属地:592
gui shu gan	归属感:448
gui shu wen ti	归属问题:504
gui shu yu	归属于:338
gui shui	归谁:306
gui shun	归顺:456
gui si	鬼斯:549,归思:427,癸巳:366
gui su	龟速:635,归宿:523
gui suan	硅酸:372
gui suan lv	硅酸铝:284
gui suan na	硅酸钠:356
gui suan yan	硅酸盐:481
gui suan yan shui ni	硅酸盐水泥:576
gui sui	鬼祟:350,归绥:296
gui suo	龟缩:368,贵所:273
gui ta	归他:481,归她:422
gui tai	柜台:565,鬼胎:306
gui tai qian	柜台前:529
gui tai shang	柜台上:543
gui tang gu fen	贵糖股份:562
gui ti	贵体:254
gui tian	跪舔:549,归天:400,归田:342
gui tie	硅铁:332
gui tong	硅酮:298
gui tou	龟头:440,鬼头:407
gui tu	归途:424
gui tu sai pao	龟兔赛跑:487
gui wai	柜外:243
gui wan	硅烷:372
gui wang	桂王:425,鬼王:358
gui wang zhan	贵网站:545
gui wei	归为:589,贵为:541,归位:404,癸未:362
gui wen	龟纹:268
gui wo	归我:542
gui wu	鬼屋:378
gui wu er	鬼屋儿:534
gui wu zhe	鬼武者:294
gui xi	归西:395
gui xia	跪下:580
gui xia lai	跪下来:510
gui xian	贵显:259
gui xiang	桂香:530,归降:462,归乡:382,归向:316
gui xiang jiao	硅橡胶:405
gui xiao	贵校:386,诡笑:279
gui xie	跪谢:266
gui xin	归心:408
gui xing	贵姓:432
gui xiong	鬼雄:288
gui xiu	闺秀:348
gui ya	贵呀:418,鬼呀:274
gui ya na	圭亚那:436
gui ya na he zuo gong he guo	圭亚那合作共和国:549
gui yan	鬼眼:512,归雁:450
gui yang	贵阳:569
gui yang shi	贵阳市:490
gui yang wan	硅氧烷:318
gui yi	诡异:557,归一:547,皈依:520
gui yi hua	归一化:324
gui yi san bao	皈依三宝:490
gui yi xie	贵一些:506
gui yin	归隐:439,归因:370
gui yin yu	归因于:430
gui ying	鬼影:266
gui you	硅油:376,癸酉:285
gui yu	归于:557,鳜鱼:474
gui yuan	归元:508,桂圆:420,柜员:310,桂园:232
gui yuan ji	柜员机:306
gui yue	规约:444,归约:304
gui zai	跪在:627,贵在:460
gui zai di shang	跪在地上:574
gui zang	归葬:328
gui zao	硅藻:380
gui zao tu	硅藻土:389
gui ze	规则:688,归责:322
gui ze yuan ze	归责原则:521
gui zha	诡诈:372
gui zhan	贵站:370
gui zhang	规章:606
gui zhang zhi du	规章制度:566
gui zhao	归赵:374
gui zhe	跪着:559
gui zhen	归真:388,轨枕:338
gui zheng	规整:474
gui zhi	硅脂:484,桂枝:404,硅质:395,规制:354,归置:279
gui zhi tang	桂枝汤:292
gui zhi yu	归之于:480
gui zhong	贵重:524,柜中:520,归中:518,闺中:322
gui zhong jin shu	贵重金属:559
gui zhong wu pin	贵重物品:353
gui zhou	贵州:640,归舟:462
gui zhou da xue	贵州大学:400
gui zhou gui yang	贵州贵阳:499
gui zhou mao tai	贵州茅台:618
gui zhou sheng	贵州省:565
gui zhuan	硅砖:258
gui zhuang	鬼妆:418
gui zi	鬼子:552,柜子:504,桂子:380,跪姿:317,贵子:286
gui zi li	柜子里:537
gui zi shou	刽子手:454
gui zong	归宗:489,归总:298
gui zu	贵族:676
gui zu hua	贵族化:317
gui zu men	贵族们:526
gui zu qi zhi	贵族气质:494
gui zu xue xiao	贵族学校:291
gui zui	归罪:369
gui zui yu	归罪于:304
gui zuo	跪坐:345
gun	滚:673,棍:615,衮:518,鲧:361,磙:298,辊:276,绲:268
gun a	滚啊:549
gun ba	滚吧:549
gun bang	棍棒:492
gun bian	绲边:287
gun cheng	滚成:258
gun chi	滚齿:415
gun chu	滚出:314
gun chu qu	滚出去:300
gun cu	滚粗:549
gun cun	滚存:316
gun da	棍打:459,滚打:264
gun dan	滚蛋:438
gun dao	滚刀:332,滚到:324,滚道:288
gun dao rou	滚刀肉:365
gun de	滚得:429
gun di	滚地:282
gun dong	滚动:580
gun dong shi	滚动式:300
gun dong tiao	滚动条:350
gun dong xin wen	滚动新闻:487
gun dong zhou cheng	滚动轴承:377
gun er	棍儿:358
gun fa	棍法:476
gun fan	滚翻:340
gun fei	滚肥:412,滚沸:300
gun gua liu yuan	滚瓜溜圆:325
gun gun	滚滚:569
gun gun er lai	滚滚而来:310
gun gun hong chen	滚滚红尘:310
gun hua	滚花:449
gun hui	滚回:285
gun jin	滚进:291
gun kai	滚开:456
gun lai	滚来:261
gun lai gun qu	滚来滚去:291
gun le	滚了:537
gun lei	滚雷:314
gun lun	滚轮:464
gun luo	滚落:460
gun mu	滚木:330
gun ping	滚屏:356
gun qiu	滚球:332
gun qu	滚去:280
gun re	滚热:358
gun ru xia qi	滚入下期:492
gun shang	滚上:438
gun shi	滚石:400
gun shi chang pian	滚石唱片:555
gun shi shang shan	滚石上山:549
gun shu	棍术:282
gun shui	滚水:387
gun si	滚丝:418
gun su	滚塑:485
gun tang	滚烫:486
gun ti	滚梯:395
gun tong	滚筒:436
gun tong shi	滚筒式:344
gun tong xi yi ji	滚筒洗衣机:512
gun tu	滚涂:288
gun xia	滚下:321
gun xiang	滚向:410
gun xue qiu	滚雪球:447
gun ya	滚压:340
gun yuan	滚圆:364
gun zai	滚在:452
gun zha	滚轧:244
gun zhe	滚着:442
gun zhen zhou cheng	滚针轴承:297
gun zhou	滚轴:322,辊轴:250
gun zhu	滚珠:366,滚柱:271
gun zhu zhou cheng	滚珠轴承:327
gun zi	棍子:522,滚子:348,辊子:272
gun zi zhou cheng	滚子轴承:553
guo	过:870,国:822,果:802,郭:653,锅:619,裹:615,蝈:466,聒:432,帼:431,掴:417,椁:398,虢:374,埚:326,呙:273,崞:264,腘:217,馘:212,粿:205,蜾:203,馃:182,涡:38,𬇹:38
guo an	国安:516,过暗:434
guo an ju	国安局:292
guo ao	国奥:453
guo ao dui	国奥队:464
guo ba	过吧:581,过把:557,锅巴:526
guo ba yin	过把瘾:320
guo bai	过百:552,过白:478
guo ban	过半:490,国办:416
guo ban shu	过半数:343
guo bang	过磅:341
guo bao	过曝:545,国宝:530,过饱:308
guo bao ji	国宝级:374
guo ben	国本:381
guo bi	国币:298
guo bian	锅边:503
guo biao	国标:466
guo biao wu	国标舞:321
guo bie	国别:510
guo bin	国宾:472
guo bin guan	国宾馆:346
guo bing	果柄:268,锅饼:229
guo bu	过不:549,裹布:260
guo bu liao	过不了:598
guo bu qi ran	果不其然:414
guo bu qu	过不去:511
guo bu ran	果不然:549
guo cai	果菜:412
guo cao di	过草地:491
guo ce	国策:472
guo cha	果茶:378
guo chan	国产:626,锅铲:334
guo chan che	国产车:320
guo chan dian ying	国产电影:306
guo chan dong hua	国产动画:496
guo chan hua	国产化:470
guo chan hua lv	国产化率:296
guo chan jiao che	国产轿车:298
guo chan pian	国产片:292
guo chan pin pai	国产品牌:349
guo chan qi che	国产汽车:304
guo chan ruan jian	国产软件:421
guo chan she bei	国产设备:578
guo chan shou ji	国产手机:352
guo chang	过长:530,过场:383,果场:282
guo chao	国潮:501
guo cheng	过程:749,果城:396,过秤:302
guo cheng fen xi	过程分析:486
guo cheng kong zhi	过程控制:602
guo cheng zhong	过程中:782
guo cheng zhong de	过程中的:725
guo chi	过迟:468,国耻:458
guo chong	过充:389
guo chou	国仇:246
guo chu	国储:534,过处:522,过出:262
guo chun jie	过春节:542
guo cong	过从:586
guo cu	果醋:485,过粗:453
guo cui	国粹:434
guo cuo	过错:550
guo cuo ze ren	过错责任:340
guo da	过大:713,郭达:482,国大:470
guo da dang	国大党:447
guo da nian	过大年:302
guo dai	国代:268
guo dan	过淡:434
guo dang	过当:550
guo dao	国道:508,过道:482,过到:308
guo dao pang	国道旁:503
guo de	过的:782,过得:683,裹得:294
guo de gang	郭德纲:615
guo de hao	过得好:528
guo de qu	过得去:434
guo di	过低:657,锅底:448
guo dian	过点:549,过电:370,国电:356,国典:261
guo dian er	过点儿:549
guo dian liu	过电流:501
guo dian ya	过电压:441
guo ding	国定:359
guo ding jia ri	国定假日:294
guo dong	果冻:457,过冬:452
guo dong jian she	国栋建设:562
guo du	过渡:656,过度:625,国都:605,国度:510
guo du bao zhuang	过度包装:500
guo du dao	过渡到:625
guo du de	过度的:618
guo du jie duan	过渡阶段:296
guo du jin zhang	过度紧张:528
guo du jing zheng	过度竞争:495
guo du kai fa	过度开发:489
guo du lao lei	过度劳累:524
guo du li	国度里:531
guo du pi lao	过度疲劳:558
guo du qi	过渡期:438
guo du shi qi	过渡时期:324
guo du shi yong	过度使用:497
guo du xing	过渡性:454
guo du xing fen	过度兴奋:494
guo du zheng fu	过渡政府:291
guo duan	果断:571,过短:547,过段:468
guo duan cuo shi	果断措施:489
guo duan shi jian	过段时间:327
guo duo	过多:743
guo duo de	过多的:683
guo er	果儿:354
guo fa	国法:449
guo fang	国防:660,过放:389,过房:274,过访:240
guo fang bu	国防部:570
guo fang bu zhang	国防部长:544
guo fang da xue	国防大学:424
guo fang dong yuan	国防动员:538
guo fang gong ye	国防工业:329
guo fang jian she	国防建设:346
guo fang jiao yu	国防教育:354
guo fang jun	国防军:446
guo fang ke gong wei	国防科工委:458
guo fang ke ji	国防科技:353
guo fang ke yan	国防科研:493
guo fang lv	国防绿:325
guo fei	过肥:448,过费:248
guo fen	过分:630,果粉:267
guo fen le	过分了:531
guo fen qiang diao	过分强调:567
guo fen zhui qiu	过分追求:516
guo feng	国风:392
guo fu	国服:549,国父:442,果脯:359,果腹:358,国富:355
guo fu cheng	郭富城:355
guo fu rong	郭芙蓉:484
guo gai	锅盖:427
guo gai er	锅盖儿:549
guo gan	果敢:443,果干:294
guo gan er	果干儿:549
guo gang	过港:418
guo gao	过高:720
guo ge	国歌:491,过个:411
guo gong	国共:545
guo gong he zuo	国共合作:494
guo gong liang dang	国共两党:318
guo gu	国故:334
guo guan	过关:547,过惯:286
guo guan zhan jiang	过关斩将:367
guo guang	国光:440
guo guang ci ye	国光瓷业:562
guo guo	蝈蝈:373,过过:320
guo hai	过海:524
guo han	国函:418
guo hang	国行:549,国航:442
guo hao	过好:613,国号:448,裹好:290
guo he	过河:506,果核:378,果盒:246
guo hei	过黑:484,果黑:418
guo hong	过红:418
guo hou	果后:671,过后:604,过厚:514
guo hu	过户:530
guo hu fei	过户费:293
guo hu shou xu	过户手续:584
guo hua	国画:494,国花:390
guo hua jia	国画家:315
guo hua yuan	国画院:293
guo hua zuo pin	国画作品:490
guo huai	国槐:344
guo huan	过缓:492
guo hui	国会:596,国徽:552,过会:542
guo hui da sha	国会大厦:513
guo hui yi yuan	国会议员:322
guo hun	国魂:314
guo huo	过活:448,过火:432,国货:411
guo ji	国际:760,国籍:566,过急:501,过激:456,国技:423,过继:386,过季:301,国基:296
guo ji an quan	国际安全:519
guo ji ao wei hui	国际奥委会:461
guo ji ban	国际版:330
guo ji bao hu	国际保护:483
guo ji bi sai	国际比赛:537
guo ji biao zhun	国际标准:476
guo ji biao zhun hua	国际标准化:509
guo ji biao zhun hua zu zhi	国际标准化组织:392
guo ji biao zhun jiao yi wu	国际标准交谊舞:549
guo ji biao zhun kan hao	国际标准刊号:550
guo ji bo lan	国际博览:340
guo ji bo lan hui	国际博览会:517
guo ji bu	国际部:409
guo ji chang tu	国际长途:566
guo ji che zhan	国际车展:525
guo ji chuan bo	国际传播:493
guo ji ci	过几次:566
guo ji da jiu dian	国际大酒店:592
guo ji da sai	国际大赛:488
guo ji da sha	国际大厦:616
guo ji dan wei	国际单位:508
guo ji di wei	国际地位:563
guo ji dian gong	国际电工:518
guo ji dian lian	国际电联:316
guo ji dian xin lian meng	国际电信联盟:344
guo ji dian ying jie	国际电影节:550
guo ji fa	国际法:532
guo ji fan dian	国际饭店:343
guo ji fen gong	国际分工:526
guo ji ge	国际歌:316
guo ji gong fa	国际公法:358
guo ji gong yu	国际公寓:570
guo ji gong yue	国际公约:347
guo ji guan li	国际管理:549,国际惯例:359
guo ji guan xi	国际关系:621
guo ji guan xi xue yuan	国际关系学院:384
guo ji guang gao	国际广告:544
guo ji gui fan	国际规范:478
guo ji gui ze	国际规则:525
guo ji guo nei	国际国内:654
guo ji hai yun	国际海运:527
guo ji hang ban	国际航班:332
guo ji hang kong	国际航空:331
guo ji hang xian	国际航线:554
guo ji hang yun	国际航运:316
guo ji he ping	国际和平:528
guo ji he zuo	国际合作:665
guo ji hu lian wang	国际互联网:549
guo ji hua	国际化:614
guo ji hua cheng du	国际化程度:533
guo ji huan jing	国际环境:607
guo ji hui yi zhong xin	国际会议中心:388
guo ji huo bi ji jin zu zhi	国际货币基金组织:478
guo ji huo dai	国际货代:493
guo ji huo yun	国际货运:595
guo ji huo yun dai li	国际货运代理:564
guo ji ji	国际级:401
guo ji ji chang	国际机场:366
guo ji ji gou	国际机构:545
guo ji ji piao	国际机票:679
guo ji jia ge	国际价格:480
guo ji jian	国际间:601
guo ji jiao liu	国际交流:420
guo ji jin rong	国际金融:362
guo ji jin rong zhong xin	国际金融中心:516
guo ji jin rong zu zhi	国际金融组织:313
guo ji jing ji	国际经济:657
guo ji jing ji fa	国际经济法:553
guo ji jing ji he zuo	国际经济合作:515
guo ji jing ji mao yi	国际经济贸易:510
guo ji jing mao	国际经贸:326
guo ji jing zheng	国际竞争:361
guo ji jing zheng li	国际竞争力:657
guo ji jiu dian	国际酒店:601
guo ji ju shi	国际局势:316
guo ji ju xing	国际巨星:494
guo ji kong jian zhan	国际空间站:508
guo ji kong yun	国际空运:488
guo ji kuai di	国际快递:567
guo ji kuai ji	国际会计:306
guo ji lian meng	国际联盟:400
guo ji lun tan	国际论坛:555
guo ji lv xing she	国际旅行社:646
guo ji lv you	国际旅游:615
guo ji man you	国际漫游:302
guo ji mao yi	国际贸易:410
guo ji mao yi cu jin wei yuan hui	国际贸易促进委员会:535
guo ji mao yi you xian gong si	国际贸易有限公司:582
guo ji mi lan	国际米兰:368
guo ji min sheng	国计民生:472
guo ji ming pai	国际名牌:532
guo ji nian	过几年:522
guo ji pai mai	国际拍卖:494
guo ji pin pai	国际品牌:376
guo ji qi huo	国际期货:336
guo ji qi ye	国际企业:588
guo ji ren quan	国际人权:489
guo ji ren zheng	国际认证:599
guo ji sai	国际赛:483
guo ji shang	国际上:692
guo ji shang bao	国际商报:505
guo ji shang biao	国际商标:479
guo ji shang fa	国际商法:493
guo ji shang hui	国际商会:357
guo ji shang mao	国际商贸:314
guo ji shang pin	国际商品:504
guo ji shang wu	国际商务:644
guo ji shang ye	国际商业:571
guo ji she	国际社:600
guo ji she hui	国际社会:640
guo ji shi chang	国际市场:729
guo ji shi wu	国际事务:327
guo ji shi you	国际石油:326
guo ji shi zhuang	国际时装:306
guo ji shou zhi	国际收支:350
guo ji shui ping	国际水平:569
guo ji shui shou	国际税收:503
guo ji tian	过几天:614
guo ji tian lian	国际田联:375
guo ji tiao yue	国际条约:607
guo ji tong xin	国际通信:512
guo ji tou zi	国际投资:592
guo ji wen ti	国际问题:554
guo ji xian jin shui ping	国际先进水平:611
guo ji xian qu dao bao	国际先驱导报:518
guo ji xiang qi	国际象棋:452
guo ji xin tuo	国际信托:495
guo ji xin wen	国际新闻:546
guo ji xing	国际性:530,国际型:334
guo ji xing shi	国际形势:344
guo ji xing wei	过激行为:505
guo ji xing xiang	国际形象:312
guo ji xue	国际学:486
guo ji xue xiao	国际学校:536
guo ji yan tao hui	国际研讨会:573
guo ji yi liu	国际一流:599
guo ji yin biao	国际音标:339
guo ji ying xiang	国际影响:538
guo ji ying xiao	国际营销:529
guo ji you jia	国际油价:606
guo ji you ren	国际友人:312
guo ji yu lun	国际舆论:295
guo ji yu ming	国际域名:376
guo ji yuan you	国际原油:314
guo ji yuan you jia ge	国际原油价格:538
guo ji yuan zi neng ji gou	国际原子能机构:420
guo ji yun shu	国际运输:545
guo ji zai xian	国际在线:591
guo ji zhan	国际站:483
guo ji zhan lan	国际展览:354
guo ji zhan lan zhong xin	国际展览中心:361
guo ji zhao biao	国际招标:571
guo ji zheng zhi	国际政治:601
guo ji zhi bo	国际直拨:479
guo ji zhi ming	国际知名:641
guo ji zhi xu	国际秩序:486
guo ji zhu ce	国际注册:583
guo ji zhu ming	国际著名:602
guo ji zhu yi	国际主义:425
guo ji zhuan li	国际专利:518
guo ji zi ben	国际资本:586
guo ji zu lian	国际足联:443
guo ji zu qiu	国际足球:296
guo ji zu zhi	国际组织:655
guo jia	国家:804,郭嘉:541
guo jia an quan	国家安全:772
guo jia an quan bu	国家安全部:381
guo jia an quan ju	国家安全局:514
guo jia ban quan ju	国家版权局:410
guo jia bao hu	国家保护:596
guo jia biao zhun	国家标准:536
guo jia bo kuan	国家拨款:487
guo jia bo wu guan	国家博物馆:504
guo jia bu wei	国家部委:515
guo jia cai chan	国家财产:538
guo jia cai zheng	国家财政:630
guo jia ce hui ju	国家测绘局:328
guo jia chan ye zheng ce	国家产业政策:621
guo jia chu bei	国家储备:500
guo jia da shi	国家大事:535
guo jia dai ma	国家代码:512
guo jia dang an ju	国家档案局:340
guo jia di li	国家地理:576
guo jia di zhi	国家地质:530
guo jia dian li gong si	国家电力公司:538
guo jia dian wang	国家电网:310
guo jia dian wang gong si	国家电网公司:588
guo jia dui	国家对:584,国家队:564
guo jia er ji	国家二级:594
guo jia fa gai wei	国家发改委:683
guo jia fa lv	国家法律:765
guo jia fa lv fa gui	国家法律法规:623
guo jia fa ming	国家发明:555
guo jia fa zhan	国家发展:672
guo jia fa zhan ji hua wei yuan hui	国家发展计划委员会:390
guo jia fu zhu xi	国家副主席:509
guo jia gan bu	国家干部:523
guo jia gan yu	国家干预:497
guo jia gong shang	国家工商:378
guo jia gong shang hang zheng guan li ju	国家工商行政管理局:358
guo jia gong shang ju	国家工商局:314
guo jia gong shang zong ju	国家工商总局:551
guo jia gong wu yuan	国家公务员:686
guo jia gong yuan	国家公园:506
guo jia gong zuo ren yuan	国家工作人员:630
guo jia gu	国家股:436
guo jia gu li	国家鼓励:655
guo jia guan li	国家管理:528
guo jia guang bo dian ying dian shi zong ju	国家广播电影电视总局:524
guo jia gui ding	国家规定:727
guo jia hai yang ju	国家海洋局:395
guo jia huan bao	国家环保:569
guo jia huan bao zong ju	国家环保总局:405
guo jia huan jing bao hu zong ju	国家环境保护总局:344
guo jia huo	过家伙:549
guo jia ji	国家级:677
guo jia ji gou	国家机构:567
guo jia ji guan	国家机关:638
guo jia ji guan gong zuo ren yuan	国家机关工作人员:624
guo jia ji hua	国家计划:514
guo jia ji qi	国家机器:390
guo jia ji shu jian du ju	国家技术监督局:348
guo jia ji wei	国家计委:466
guo jia ji zhong dian	国家级重点:588
guo jia jia	过家家:352
guo jia jian	国家间:562
guo jia jian du	国家监督:529
guo jia jiao wei	国家教委:486
guo jia jiao yu bu	国家教育部:460
guo jia jiao yu wei yuan hui	国家教育委员会:322
guo jia jing ji	国家经济:640
guo jia jing ji an quan	国家经济安全:541
guo jia jing ji mao yi wei yuan hui	国家经济贸易委员会:333
guo jia jing mao wei	国家经贸委:460
guo jia jing zheng li	国家竞争力:514
guo jia ju	国家局:392
guo jia kai fa yin hang	国家开发银行:406
guo jia kao shi	国家考试:530
guo jia ke ji bu	国家科技部:384
guo jia ke wei	国家科委:433
guo jia ke xue	国家科学:612
guo jia li yi	国家利益:679
guo jia lin ye ju	国家林业局:386
guo jia ling dao ren	国家领导人:595
guo jia lv you ju	国家旅游局:546
guo jia mian jian	国家免检:564
guo jia min wei	国家民委:343
guo jia ming	国家名:549
guo jia ming cheng	国家名称:549
guo jia ming zi	国家名字:549
guo jia pei chang	国家赔偿:332
guo jia pei chang fa	国家赔偿法:545
guo jia quan li	国家权力:593
guo jia quan li ji guan	国家权力机关:537
guo jia rong yu	国家荣誉:558
guo jia san ji	国家三级:484
guo jia sen lin	国家森林:480
guo jia sen lin gong yuan	国家森林公园:552
guo jia shang wu bu	国家商务部:538
guo jia shi wu	国家事务:538
guo jia shi ye	国嘉实业:562
guo jia shui shou	国家税收:320
guo jia shui wu	国家税务:320
guo jia shui wu zong ju	国家税务总局:478
guo jia si fa kao shi	国家司法考试:620
guo jia suo you	国家所有:450
guo jia suo you zhi	国家所有制:549
guo jia ti wei	国家体委:426
guo jia ti yu	国家体育:506
guo jia ti yu zong ju	国家体育总局:452
guo jia tong ji ju	国家统计局:494
guo jia tong yi	国家统一:619
guo jia tu shu guan	国家图书馆:426
guo jia wai guo zhuan jia ju	国家外国专家局:314
guo jia wai hui	国家外汇:306
guo jia wai hui guan li ju	国家外汇管理局:412
guo jia wei sheng bu	国家卫生部:370
guo jia wen wu ju	国家文物局:430
guo jia wu jia ju	国家物价局:518
guo jia xian fa	国家宪法:478
guo jia xiang mu	国家项目:490
guo jia xin xi chan ye bu	国家信息产业部:348
guo jia xin xi zhong xin	国家信息中心:366
guo jia xing wei	国家行为:488
guo jia xing zheng	国家行政:548
guo jia xing zheng ji guan	国家行政机关:613
guo jia yan cao zhuan mai ju	国家烟草专卖局:316
guo jia yao pin	国家药品:543
guo jia yao pin biao zhun	国家药品标准:509
guo jia yao pin jian du guan li ju	国家药品监督管理局:333
guo jia yi ji	国家一级:418
guo jia yi lei	国家一类:525
guo jia yin hang	国家银行:404
guo jia you zheng ju	国家邮政局:328
guo jia yu suan	国家预算:520
guo jia yuan shou	国家元首:329
guo jia zhan lve	国家战略:565
guo jia zheng ce	国家政策:633
guo jia zheng quan	国家政权:633
guo jia zhi du	国家制度:509
guo jia zhi jian zong ju	国家质检总局:648
guo jia zhi shi chan quan ju	国家知识产权局:419
guo jia zhong dian	国家重点:681
guo jia zhong dian shi yan shi	国家重点实验室:596
guo jia zhong yi yao guan li ju	国家中医药管理局:382
guo jia zhu quan	国家主权:340
guo jia zhu xi	国家主席:688
guo jia zhu xue dai kuan	国家助学贷款:599
guo jia zhu yi	国家主义:360
guo jia zhuan li	国家专利:368
guo jia zi ran ke xue ji jin	国家自然科学基金:398
guo jia zi yuan	国家资源:490
guo jia zong jiao	国家宗教:659
guo jiang	过奖:418,果酱:388
guo jiang le	过奖了:516
guo jiao	果胶:461,过胶:450,国教:444,国脚:404,裹脚:290
guo jie	过节:522,国界:492,过界:418,过街:332
guo jie lao shu	过街老鼠:354
guo jie lou	过街楼:312
guo jie tian qiao	过街天桥:316
guo jin	过近:545,过尽:457,过紧:330,裹紧:294,裹进:286
guo jin an	郭晋安:296
guo jin er	过劲儿:549
guo jing	郭靖:668,过境:553,国境:494
guo jing jing	郭晶晶:466
guo jing kou an	国境口岸:500
guo jing ming	郭敬明:404
guo jing nei	国境内:552
guo jing qian zheng	过境签证:291
guo jiu	过久:573,国酒:526,果酒:430,国舅:392
guo ju	国剧:282
guo jue	果决:418
guo jun	国君:492,国军:492
guo kao	国考:418
guo ke	过客:502,果壳:358
guo ke ying	郭可盈:294
guo kong	过孔:305
guo ku	国库:552
guo ku quan	国库券:410
guo kuai	过快:661
guo kuai zeng zhang	过快增长:572
guo kuan	过宽:513
guo kui	锅盔:304
guo lai	过来:728
guo lai ba	过来吧:525
guo lai kan	过来看:521
guo lai le	过来了:631
guo lai ren	过来人:426
guo lai zuo ke	过来做客:549
guo lan	过滥:509,果篮:490
guo lao	过劳:515
guo lao si	过劳死:301
guo le	过了:782,裹了:493,掴了:412
guo le pian ke	过了片刻:493
guo le tou	过了头:556
guo le yi nian	过了一年:498
guo lei	过累:418,果类:312
guo leng	过冷:393
guo li	锅里:631,国力:528,果粒:504,国立:488,过礼:276,国礼:267
guo li da xue	国立大学:328
guo lian	国联:472
guo liang	过量:552,过亮:278,过凉:272
guo liang tian	过两天:564
guo liao	果料:278
guo lin	果林:383
guo lin suan gai	过磷酸钙:380
guo ling	果岭:344
guo liu	国六:525,过流:418
guo liu bao hu	过流保护:505
guo lu	锅炉:572,过路:448
guo lu chang	锅炉厂:336
guo lu fang	锅炉房:458
guo lu fei	过路费:322
guo lu ren	过路人:386
guo luan	裹乱:256
guo lv	过滤:596,国旅:502,过虑:384
guo lv diao	过滤掉:540
guo lv ji	过滤机:392
guo lv ji shu	过滤技术:495
guo lv qi	过滤器:491
guo lv she bei	过滤设备:507
guo lv wang	过滤网:334
guo lv xi tong	过滤系统:527
guo lv zui er	过滤嘴儿:549
guo ma	过吗:632,国骂:290
guo ma lu	过马路:589
guo mai	过卖:434,国脉:302
guo mai tong xin	国脉通信:562
guo man	国漫:542,裹满:418,过慢:324
guo mao	国贸:462
guo mao da sha	国贸大厦:545
guo mei	国美:548
guo mei dian qi	国美电器:604
guo men	国门:538,过门:448
